,time,pstate1,pstate2,pstate3,se1,se2,se3
1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.9857893549099974,0.00602846802130055,0.008182177068702022,0.0018494141836052128,0.0012736778022890707,0.0013409241881911964
3,2.0,0.9730952454666751,0.01096689645017252,0.015937858083152394,0.00254480392026926,0.001721899742470133,0.001885301077594117
4,3.0,0.9661071758161045,0.01728873875964062,0.016604085424254993,0.0028873954068629536,0.002173045496563116,0.001925635389361462
5,4.0,0.9620373489500966,0.020556326813269302,0.017406324236634206,0.003072014069376003,0.002393724508321812,0.0019999869799640015
6,5.0,0.9568678055539873,0.025503805204422834,0.017628389241589944,0.0032927705627457783,0.002669417604223487,0.0020127925493484897
7,6.0,0.9525258080327834,0.02903998546201773,0.01843420650519893,0.003467786062000391,0.002862707469093803,0.0020786549387170486
8,7.0,0.9501068865925506,0.030361784084717434,0.019531329322731987,0.0035611399423459656,0.002935709982790392,0.0021555864344195096
9,8.0,0.9473613579993412,0.0325238463963518,0.02011479560430704,0.0036665122852434467,0.0030456426932046715,0.0021991917399765398
10,9.0,0.9452701061612585,0.03241269641523985,0.02231719742350169,0.003741146341364714,0.003049132493139863,0.002334832361034782
11,10.0,0.9423549225883234,0.03254468594171425,0.025100391469962305,0.0038442121472346174,0.0030709175141037243,0.0025013286467607063
12,11.0,0.9408127216969776,0.03277013649926555,0.026417141803756834,0.0038959180469065146,0.0030852383349531057,0.002570561688564409
13,12.0,0.9388791358644194,0.031510219019700296,0.029610645115880435,0.003955016141780032,0.0030306950380104515,0.002727136239597038
14,13.0,0.9355194839451185,0.03250338424233571,0.031977131812545974,0.0040640801098661096,0.0030912854950919688,0.002846117633567494
15,14.0,0.9338076773861604,0.03244233780919119,0.033749984804648574,0.004114977441734338,0.0030918822299532476,0.0029246392587665344
16,15.0,0.9308798853155176,0.030877979929857014,0.03824213475462568,0.004200182174909619,0.0030235199738248156,0.003115503256631152
17,16.0,0.9299913992388356,0.028542679459283314,0.04146592130188136,0.004222448875156129,0.0029037060827548458,0.0032388776052181658
18,17.0,0.9273899378158785,0.028494397121697997,0.044115665062423745,0.004293358944867437,0.0029051812639223763,0.003337592914756164
19,18.0,0.9252319339281563,0.029318847935406848,0.045449218136437056,0.004352418661920345,0.002947324681155275,0.003383025687926002
20,19.0,0.9221312072007584,0.029836931607869606,0.04803186119137216,0.004435198885156773,0.0029769220986122,0.003474408244303345
21,20.0,0.9195260265082776,0.030369038983717525,0.05010493450800496,0.0045029982140466435,0.0030052698297674354,0.003544886917072587
22,21.0,0.9176395722510491,0.030043289698621054,0.05231713805032992,0.00455123545544949,0.0029921117507999222,0.0036213557612973556
23,22.0,0.9151362228556763,0.02973513461637395,0.05512864252794987,0.0046116265656967895,0.0029783870929412826,0.0037132951467329207
24,23.0,0.9099160673874577,0.031095990811827554,0.05898794180071493,0.00474155401685882,0.0030483250040700765,0.003834888090778208
25,24.0,0.9059631859852789,0.03134118950861921,0.06269562450610211,0.004835590088633275,0.003062997281890901,0.003949945996583666
26,25.0,0.9016117321035172,0.03159952789838382,0.06678873999809919,0.004935594538392562,0.0030769041272606596,0.004072258082470993
27,26.0,0.8965333274796936,0.032426525900483276,0.07104014661982336,0.005051159494320554,0.0031169153904526707,0.004195182314975539
28,27.0,0.89189693093632,0.032669019675478556,0.07543404938820165,0.0051551825788942315,0.003131233289940953,0.00432163939187922
29,28.0,0.8839106794355442,0.03371590486324373,0.08237341570121223,0.005331126770941589,0.003187382093840891,0.004516254106759865
30,29.0,0.8771890104536777,0.03423155650979826,0.08857943303652431,0.005473813313466735,0.0032145340374314262,0.004683031073946838
31,30.0,0.8694769297486572,0.0366990127902012,0.0938240574611419,0.005636584288992049,0.003330219143244777,0.004820369751021328
32,31.0,0.8645144757123967,0.037136808915221683,0.0983487153723819,0.005740252638180963,0.0033633205283344725,0.004940931094963826
33,32.0,0.8593254078875127,0.0387457038565202,0.10192888825596744,0.005845865584067483,0.0034414661533166504,0.00503275604595149
34,33.0,0.8514498475381109,0.042043122364552356,0.10650703009733695,0.006000647793798106,0.0035856795569023836,0.005145233265778719
35,34.0,0.8436698105378159,0.04449809093522916,0.11183209852695526,0.00614761624789094,0.003691894497494186,0.005274038727230423
36,35.0,0.8360595507033182,0.04723081015151853,0.11670963914516364,0.006287473808131289,0.003806451203627644,0.005389823714672316
37,36.0,0.8274560990560218,0.051045197599675976,0.12149870334430257,0.006441903251350653,0.003966901173564329,0.005505238326221733
38,37.0,0.8163653418814792,0.05763530033401017,0.12599935778451096,0.0066336261241540405,0.004221564171331018,0.005612365462535895
39,38.0,0.810081440711963,0.059797449483434566,0.1301211098046028,0.006738077307840734,0.004307100184389944,0.00570652332143984
40,39.0,0.8013912723244131,0.0630333181448364,0.1355754095307509,0.006878742757105308,0.004438261795313682,0.005832686715016991
41,40.0,0.7889948694229675,0.06876609625321671,0.14223903432381624,0.007070778842096116,0.00465646205146565,0.005986268516643637
42,41.0,0.7783321561207727,0.07194923917857408,0.14971860470065365,0.007229813228816895,0.004794953052841757,0.006153971791465176
43,42.0,0.762784070704627,0.07901508846256218,0.15820084083281136,0.007450188960860352,0.005069140902475097,0.006350190255296865
44,43.0,0.751631125623968,0.0822133364314586,0.16615553794457386,0.007600036033657911,0.005196309708928122,0.006511957234349584
45,44.0,0.736647965133338,0.08993198979919262,0.17342004506746997,0.007791954240078921,0.0054498757499372415,0.006659139162904322
46,45.0,0.7236073919185962,0.0954089328835136,0.1809836751978907,0.007949747946607352,0.005629829808540937,0.006804499884888618
47,46.0,0.7036389584466555,0.10815909714034151,0.18820194441300353,0.008180858087267238,0.006014057082162952,0.006958680891272849
48,47.0,0.688881925643543,0.11641584548580286,0.19470222887065466,0.008341993622979497,0.0062543780386778375,0.007085250274193604
49,48.0,0.6715664610958891,0.1254782230365582,0.20295531586755322,0.0085155153287556,0.006512218529592319,0.007242458676942029
