,time,pstate1,pstate2,pstate3,se1,se2,se3
1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.9784313725490196,0.0019607843137254893,0.01960784313725495,0.006362921070308897,0.0019184928873510188,0.0060668071988620575
3,2.0,0.9567759498165462,0.003929459107586707,0.039294591075867,0.00891519171815926,0.002715140370451454,0.008508913240551865
4,3.0,0.9547991400028757,0.003929459107586707,0.04127140088953749,0.009112858834233078,0.002715140370451454,0.008717511960888744
5,4.0,0.9528223301892051,0.005906268921257261,0.04127140088953749,0.009305498176662146,0.0033517306320094346,0.008717511960888744
6,5.0,0.9508455203755346,0.00788307873492777,0.04127140088953749,0.009493415819462224,0.0038833949902109953,0.008717511960888744
7,6.0,0.944915090934523,0.013813508175939394,0.04127140088953749,0.010029046829545876,0.005145835741964733,0.008717511960888744
8,7.0,0.9429382811208524,0.013813508175939394,0.04324821070320802,0.010200628405385792,0.005145835741964733,0.00892036365838083
9,8.0,0.9409614713071818,0.01579031798961003,0.04324821070320802,0.01036862606227266,0.005501332452317542,0.00892036365838083
10,9.0,0.9350185567515575,0.019752261026692905,0.04522918222174946,0.010852612572368518,0.006145826374269171,0.009116910619617424
11,12.0,0.9310566137144747,0.015801808821354322,0.05314157746417091,0.01116088303252324,0.005400694363416305,0.009799616583845035
12,13.0,0.9270946706773918,0.017788525755767913,0.0551168035668402,0.011458153345255158,0.005902954182261728,0.010067429539811509
13,15.0,0.9251136991588503,0.015812022894015922,0.05907427794713371,0.011603288671929902,0.005533390924494228,0.0103824200071184
14,17.0,0.9152088415661432,0.015812022894015922,0.06897913553984086,0.01228706930696692,0.005533390924494228,0.011168957588544413
15,18.0,0.9132278700476019,0.015812022894015922,0.0709601070583823,0.012418796204558245,0.005533390924494228,0.011319146676447367
16,19.0,0.9112468985290605,0.015812022894015922,0.07294107857692375,0.012548520674327742,0.005533390924494228,0.01146669064197225
17,20.0,0.9052910364471712,0.015812022894015922,0.078896940658813,0.012926088596518589,0.005533390924494228,0.011894255601530453
18,22.0,0.9033057490865414,0.015812022894015922,0.0808822280194428,0.013048978679160448,0.005533390924494228,0.01203281776616006
19,23.0,0.9033057490865414,0.013835520032263932,0.08285873088119479,0.013048978679160448,0.005141321503884688,0.01214976006405083
20,24.0,0.8953645996440224,0.013835520032263932,0.09079988032371383,0.013519786628722,0.005141321503884688,0.012671110319671653
21,25.0,0.8933793122833926,0.013835520032263932,0.09278516768434357,0.013634473264869584,0.005141321503884688,0.012797623324591853
22,26.0,0.8854381628408736,0.013835520032263932,0.10072631712686259,0.014074626646785458,0.005141321503884688,0.013281829617804771
23,27.0,0.8774791681187085,0.015825268712805166,0.10669556316848645,0.014494924625357173,0.005496753066034829,0.013628433648304478
24,28.0,0.8615611786743781,0.013564516039547286,0.12487430528607474,0.015267065759577873,0.00509443611882333,0.014597942371741151
25,29.0,0.8435703419967229,0.013564516039547286,0.1428651419637299,0.01606012708668216,0.00509443611882333,0.015456504802589428
26,30.0,0.8255795053190677,0.013564516039547286,0.16085597864138523,0.01677763616354363,0.00509443611882333,0.016230347131192927
27,31.0,0.8195825597598493,0.015563497892620142,0.1648539423475308,0.017006726887062985,0.005457695041011072,0.016394932753485407
28,32.0,0.811586632347558,0.017562479745692947,0.1708508879067492,0.01729988897185568,0.005795170750747369,0.016634277291411464
29,33.0,0.7975937593760483,0.019561461598765748,0.18284477902518606,0.017778363059289565,0.006107928714584797,0.01708521921046749
30,34.0,0.7855998682576115,0.02156044345183849,0.19283968829055,0.01816303162430746,0.006405573076617825,0.01744094001223141
31,35.0,0.7776039408453204,0.02156044345183849,0.2008356157028412,0.01840854312431159,0.006405573076617825,0.017715654808591722
32,36.0,0.7656100497268834,0.023559425304911286,0.21083052496820526,0.018754813709944803,0.006688601768064624,0.018039017733898655
33,37.0,0.7576141223145921,0.025558407157984072,0.21682747052742368,0.018975929070912296,0.006961832906745157,0.018226706224189777
34,38.0,0.7535735136622476,0.025448844220990988,0.22097764211676127,0.019087473039300196,0.007005535439136398,0.0183749196346574
35,39.0,0.7394313833790419,0.029389020181091813,0.2311795964398661,0.019449791264055268,0.007647961241150139,0.01872974503199039
36,40.0,0.7211988287203804,0.03126810694620392,0.2475330643334154,0.019874756344929013,0.00800511603270762,0.019231389281867368
37,41.0,0.709043792281273,0.031150704833079204,0.2598055028856476,0.020139624005247107,0.00801684211722622,0.019553290529359054
38,42.0,0.6846640630337794,0.03927728124891049,0.27605865571731,0.020600358401936504,0.008872098440771966,0.019918455431104456
39,43.0,0.6704425543060747,0.04533663233585164,0.2842208133580735,0.020847859815637675,0.009541260841472528,0.02012998853637145
40,44.0,0.6541399997940729,0.055525728905852785,0.29033427130007416,0.021103997881540257,0.010443730032614751,0.020255471073380736
41,45.0,0.6398306872985775,0.057478498946648346,0.30269081375477397,0.021309427844829282,0.010624347414378935,0.020514225892787376
42,46.0,0.6255213748030822,0.061566873945361276,0.3129117512515564,0.021493376219074083,0.010952136760496375,0.020706169889889582
43,47.0,0.607123687308874,0.07587618644085661,0.3170001262502693,0.02169375537034751,0.012010110712871235,0.02077499873523965
44,48.0,0.6030215002324627,0.07166084274969792,0.3253176570178394,0.021738938390083475,0.011686992299626582,0.020910682923488973
45,49.0,0.5907149390032288,0.07154768613495054,0.33773737486182065,0.021856609300546538,0.011697916947974162,0.02112360809554437
46,50.0,0.5722550971593778,0.07349227932986455,0.3542526235107576,0.021996689145707574,0.011866176028510275,0.021380389800959132
47,51.0,0.5454949667166732,0.09613546662753775,0.35836956665578906,0.022129469630373377,0.013314933917633396,0.021426386775657474
48,52.0,0.5331441372815787,0.10429148078728234,0.36256438193113893,0.022182749292438297,0.013836309146181268,0.021503845488903453
